timestamp,checkout_id,amount,predicted_cause,confidence,recoverability_score,chosen_action,ERV_score,reasoning,stop_reason,simulated_outcome
2026-09-05 11:03:42.013207,CHK_000001,7390.0,PRICE_HESITATION,0.9998,0.231,DISCOUNT_OFFER,1813.83,DISCOUNT_OFFER chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.231 | time=131min | amount=₹7390 | ERV=₹1814,NONE,PENDING
2026-09-05 11:03:42.014100,CHK_000002,6555.0,PRICE_HESITATION,0.9998,0.2283,STOP,0.0,Stopped by rule: MAX_TOUCHES,NONE,NOT_CONTACTED
2026-09-05 11:03:42.014166,CHK_000003,2399.0,OTP_FRICTION,0.9997,0.5807,RETRY_LINK,1570.09,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.581 | time=89min | amount=₹2399 | ERV=₹1570,NONE,PENDING
2026-09-05 11:03:42.014217,CHK_000004,8726.0,OTP_FRICTION,0.9998,0.529,NUDGE,4246.37,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.529 | time=310min | amount=₹8726 | ERV=₹4246,NONE,PENDING
2026-09-05 11:03:42.015243,CHK_000005,4797.0,PAYMENT_FAILURE,0.9997,0.4293,PAYMENT_METHOD_SWITCH,2347.85,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.429 | time=338min | amount=₹4797 | ERV=₹2348,NONE,RECOVERED
2026-09-05 11:03:42.015379,CHK_000006,7708.0,DISTRACTION_TIMEOUT,0.9995,0.3152,NUDGE,2570.78,NUDGE chosen | cause=DISTRACTION_TIMEOUT | confidence=1.000 | recoverability=0.315 | time=779min | amount=₹7708 | ERV=₹2571,NONE,PENDING
2026-09-05 11:03:42.015457,CHK_000007,6684.0,OTP_FRICTION,0.9997,0.5325,RETRY_LINK,4010.89,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.532 | time=293min | amount=₹6684 | ERV=₹4011,NONE,RECOVERED
2026-09-05 11:03:42.015562,CHK_000008,11382.0,PAYMENT_FAILURE,0.9997,0.4527,STOP,0.0,Stopped by rule: MAX_TOUCHES,NONE,NOT_CONTACTED
2026-09-05 11:03:42.015725,CHK_000009,14383.0,PRICE_HESITATION,0.9998,0.1954,NUDGE,2585.74,NUDGE chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.195 | time=1042min | amount=₹14383 | ERV=₹2586,NONE,PENDING
2026-09-05 11:03:42.015774,CHK_000010,3306.0,PRICE_HESITATION,0.9997,0.1488,STOP,0.0,Stopped by rule: COOLDOWN,NONE,NOT_CONTACTED
2026-09-05 11:03:42.015814,CHK_000011,1791.0,DISTRACTION_TIMEOUT,0.9998,0.2199,STOP,0.0,Stopped by rule: LOW_RECOVERABILITY,NONE,NOT_CONTACTED
2026-09-05 11:03:42.015849,CHK_000012,702.0,OTP_FRICTION,0.9998,0.5439,STOP,0.0,Stopped by rule: MAX_TOUCHES,NONE,NOT_CONTACTED
2026-09-05 11:03:42.015882,CHK_000013,3011.0,OTP_FRICTION,0.9998,0.5206,STOP,0.0,Stopped by rule: IGNORED_INTERVENTIONS,NONE,NOT_CONTACTED
2026-09-05 11:03:42.015917,CHK_000014,8620.0,DISTRACTION_TIMEOUT,0.9995,0.3806,NUDGE,3471.01,NUDGE chosen | cause=DISTRACTION_TIMEOUT | confidence=0.999 | recoverability=0.381 | time=304min | amount=₹8620 | ERV=₹3471,NONE,PENDING
2026-09-05 11:03:42.015955,CHK_000015,7658.0,OTP_FRICTION,0.9998,0.4353,NUDGE,3066.59,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.435 | time=988min | amount=₹7658 | ERV=₹3067,NONE,PENDING
2026-09-05 11:03:42.015987,CHK_000016,2098.0,PRICE_HESITATION,0.9997,0.2245,STOP,0.0,Stopped by rule: IGNORED_INTERVENTIONS,NONE,NOT_CONTACTED
2026-09-05 11:03:42.016020,CHK_000017,1718.0,DISTRACTION_TIMEOUT,0.9997,0.3877,STOP,0.0,Stopped by rule: IGNORED_INTERVENTIONS,NONE,NOT_CONTACTED
2026-09-05 11:03:42.016052,CHK_000018,6100.0,DISTRACTION_TIMEOUT,0.9998,0.3934,STOP,0.0,Stopped by rule: LOW_RECOVERABILITY,NONE,NOT_CONTACTED
2026-09-05 11:03:42.016085,CHK_000019,1106.0,PAYMENT_FAILURE,0.9998,0.4373,STOP,0.0,Stopped by rule: IGNORED_INTERVENTIONS,NONE,NOT_CONTACTED
2026-09-05 11:03:42.016156,CHK_000020,7955.0,PAYMENT_FAILURE,0.9996,0.479,PAYMENT_METHOD_SWITCH,4343.89,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.479 | time=26min | amount=₹7955 | ERV=₹4344,NONE,PENDING
2026-09-05 11:03:42.016195,CHK_000021,7471.0,DISTRACTION_TIMEOUT,0.9995,0.3834,STOP,0.0,Stopped by rule: COOLDOWN,NONE,NOT_CONTACTED
2026-09-05 11:03:42.016246,CHK_000022,8009.0,PAYMENT_FAILURE,0.9997,0.4644,PAYMENT_METHOD_SWITCH,4239.82,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.464 | time=108min | amount=₹8009 | ERV=₹4240,NONE,RECOVERED
2026-09-05 11:03:42.016295,CHK_000023,1376.0,PAYMENT_FAILURE,0.9998,0.4623,PAYMENT_METHOD_SWITCH,725.23,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.462 | time=120min | amount=₹1376 | ERV=₹725,NONE,PENDING
2026-09-05 11:03:42.016328,CHK_000024,7949.0,PRICE_HESITATION,0.9998,0.202,STOP,0.0,Stopped by rule: IGNORED_INTERVENTIONS,NONE,NOT_CONTACTED
